ts_code,company_name,exchange,industry_l1,industry_l2,business_scope,core_products,concept_tags
002009.SZ,天奇股份,SZSE,新能源,智能装备,智能装备与循环装备业务,智能装备|循环装备,"[""新能源"",""智能装备""]"
300020.SZ,ST银江,SZSE,科技,数字化服务,城市数字化与软件服务,数字化服务|软件服务,"[""科技"",""数字化"",""软件""]"
600061.SH,国投资本,SSE,金融,证券,证券与综合金融服务,证券服务|金融服务,"[""金融"",""证券""]"
600495.SH,晋西车轴,SSE,军工,轨交装备,轨道交通装备与军工配套,轨交装备|车轴,"[""军工"",""轨交装备""]"
600834.SH,申通地铁,SSE,消费,交通运营,城市轨道交通运营服务,地铁运营|交通服务,"[""消费"",""交通运营""]"
603208.SH,江山欧派,SSE,消费,家居建材,木门与家居建材业务,木门|家居建材,"[""消费"",""家居建材""]"
