event_id,event_name,event_date,source,event_subject_type,duration_type,predictability_type,industry_type,sentiment,heat_score,intensity_score,impact_scope,event_summary,subject_entities,raw_text_ref,classification_evidence
EVT-a414c559a1,印巴相关事件,2025-05-07,第一财经,地缘类,脉冲型,突发型,军工,利好,82,96,行业,印巴在克什米尔爆发大规模空战 巴基斯坦称使用中国制造战机击落印军战机。2025年5月7日，印巴在克什米尔地区爆发近年来规模最大的空战。巴基斯坦方面称使用中国制造的歼-10CE战机击落多架印军战机。市场普遍认为该,"[""印巴"", ""克什米尔"", ""歼-10CE""]",https://example.com/news/air-combat,"subject=空战,印巴,克什米尔,战机|industry=军工,战机,导弹,无人机,空战|predictability=空战,爆发,击落|duration=空战,击落"
EVT-a76a8c83e9,克什米尔相关事件,2025-05-07,财新网,地缘类,脉冲型,突发型,军工,中性,48,90,行业,克什米尔空战引发市场关注 军工产业链被重新定价。克什米尔冲突升级后，A股军工板块表现活跃。机构认为，战斗机总装、航空发动机、导弹配套和无人机领域可能受益，事件具有突发性和较强情绪催化效应,"[""克什米尔""]",https://example.com/news/kashmir-defense,"subject=空战,冲突,克什米尔|industry=军工,导弹,无人机,空战|predictability=空战,冲突,突发|duration=空战,冲突,突发"
EVT-614dfce26a,储能相关事件,2025-03-18,中国政府网,政策类,中期型,预披露型,新能源,利好,76,76,行业,国家发改委发布新型储能产业支持政策。国家发改委发布促进新型储能高质量发展的若干措施，提出加强电化学储能示范项目建设，完善新能源配储机制，政策有望带动储能和新能源产业链需求,"[""储能""]",https://example.com/policy/storage-policy,"subject=政策,发改委,支持,措施|industry=新能源,储能|predictability=政策,发布|duration=政策,示范项目,发布"
EVT-4b0ebc4694,中航成飞相关事件,2025-02-11,巨潮资讯网,公司类,中期型,预披露型,军工,利好,74,74,个股链条,中航成飞关于签订重大军品合同的公告。公司披露与某客户签订重大军品配套合同，合同金额较大，预计将对公司未来经营业绩产生积极影响。公告属于公司重大合同事项,"[""中航成飞""]",https://example.com/notice/contract,"subject=公告,合同|industry=军品|predictability=公告,签订|duration=合同"
EVT-a4ce10bfea,机器人相关事件,2025-04-02,36氪,行业类,中期型,预披露型,科技,利好,54,64,行业,机器人公司发布新一代人形机器人样机。某机器人公司发布新一代人形机器人样机，市场关注其在工业场景中的应用前景，多家供应链企业受到带动。该事件可能影响科技板块和机器人概念股,"[""机器人""]",https://example.com/industry/humanoid,"subject=样机|industry=科技,机器人,人形机器人,样机|predictability=发布|duration=发布,样机"
EVT-d4e3256434,国务院办公厅印发《关于建立企业信用状况综合评价体,2026-04-02,中国政府网/新华社,政策类,中期型,预披露型,其他,利好,36,72,全市场,国务院办公厅印发《关于建立企业信用状况综合评价体系的实施方案》。新华社北京4月2日电 日前，国务院办公厅印发 《关于建立企业信用状况综合评价体系的实施方案》 （以下简称《实施方案》）。 《实施方案》指出,[],https://www.gov.cn/yaowen/liebiao/202604/content_7064518.htm,"subject=国务院,支持|industry=none|predictability=none|duration=none"
EVT-e7182baac5,NGSO相关事件,2026-03-27,国家发改委/价格司,政策类,中期型,预披露型,其他,中性,36,72,行业,关于优化完善无线电频率占用费标准的通知(发改价格〔2026〕413号)。国家发展改革委 财政部关于优化完善 无线电频率占用费标准的通知 发改价格〔2026〕413号 工业和信息化部，各省、自治区、直辖市及新疆生产,"[""NGSO"", ""GSO""]",https://www.ndrc.gov.cn/xxgk/zcfb/tz/202603/t20260327_1404395.html,subject=国务院|industry=none|predictability=none|duration=none
EVT-32b0239218,国务院公布《国务院关于进一步贯彻实施〈中华人民共,2025-10-12,中国证监会/证监会,政策类,中期型,预披露型,其他,中性,36,78,全市场,"国务院公布《国务院关于进一步贯彻实施〈中华人民共和国行政处罚法〉的通知》。近日,国务院公布《国务院关于进一步贯彻实施〈中华人民共和国行政处罚法〉的通知》(国发〔2021〕26号,以下简称《通知》)。 《中华人民共和",[],https://www.csrc.gov.cn/csrc/c100028/c1615676/content.shtml,"subject=国务院,证监会|industry=none|predictability=发布|duration=发布"
EVT-5a886db814,LC相关事件,2026-04-03,上交所/最新公告,公司类,中期型,预披露型,其他,中性,36,68,个股链条,首次公开发行部分限售股上市流通公告。首次公开发行部分限售股上市流通公告；证券代码：688073；证券简称：毕得医药；公告类型：K_LC_BULLETIN,"[""LC"", ""BULLETIN""]",https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-03/688073_20260403_GXH9.pdf,subject=公告|industry=none|predictability=公告|duration=none
